clase,instruccion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
importa,"Para cada Tribunal Unitario Agrario, la cantidad registrada en la columna ""Computadora de escritorio (personal y/o portátil)"" debe ser igual o menor a la cantidad reportada como respuesta en la columna ""Computadoras"" de la pregunta anterior.",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,importa
importa,"Para cada Tribunal Unitario Agrario, la cantidad registrada en la columna ""Total"" debe ser igual o menor a la suma de las cantidades reportadas en las columnas correspondientes a ""Tipo de mobiliario o equipo"", toda vez que una sala de audiencia pública pudo haber contado con más de un tipo de equipo.",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,importa
importa,"Para cada Tribunal Unitario Agrario, la cantidad registrada en cada una de las columnas correspondientes a ""Tipo de mobiliario o equipo"" debe ser igual o menor a la cantidad reportada en la columna ""Total"". ",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,importa
importa,"En caso de que registre algún valor numérico o ""NS"" para la columna ""Otro tipo de mobiliario o equipo"", debe anotar el nombre de dicho(s) tipo(s) de mobiliario(s) o equipo(s) en el recuadro destinado para tal efecto que se encuentra al final de la tabla de respuesta. En caso de que la opción contenida en dicha columna no le aplique, anote ""NA"" (No aplica) en las celdas correspondientes. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,importa
importa,"1.- Para las preguntas 2.8 a la 2.14 la cantidad registrada en la columna ""Total"" debe ser igual a la cantidad reportada como respuesta en la columna ""Total"" de la pregunta 2.7, así como corresponder a su desagregación por sexo y cargo y/o función desempeñada.",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,importa
importa,"En caso de que registre algún valor numérico o ""NS"" en la columna ""Otro cargo y/o función desempeñada"", debe anotar el nombre de dicho(s) cargo(s) y/o función(es) desempeñada(s) en el recuadro destinado para tal efecto que se encuentra al final de la tabla de respuesta. En caso de que la opción contenida en dicha columna no le aplique, anote ""NA"" (No aplica) en las celdas correspondientes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,importa
importa,Debe considerar los años cumplidos al cierre del año 2021 del personal adscrito a los Tribunales Unitarios Agrarios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,importa
nada,Debe considerar en pesos los ingresos brutos mensuales del personal adscrito a los Tribunales Unitarios Agrarios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,nada
nada,"Debe considerar el grado máximo de estudios del que hayan cursado todos los años al cierre del 31 de diciembre de 2021 el personal adscrito a los Tribunales Unitarios Agrarios, independientemente de que se cuente con el título o certificado del mismo.",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,nada
nada,"En la columna ""Acciones de formativas impartidas"" debe considerar las acciones formativas impartidas del 1 de enero al 31 de diciembre de 2021 al personal adscrito a los Tribunales Unitarios Agrarios, independientemente de que hayan concluido durante el referido año. Debe considerar tanto las acciones impartidas por la propia institución como las realizadas por organizaciones externas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,nada
nada,"En la columna ""Acciones formativas impartidas y concluidas"" debe considerar las acciones de capacitación impartidas del 1 de enero al 31 de diciembre de 2021 al personal adscrito a los Tribunales Unitarios Agrarios, y que además hayan concluido durante el referido año. Debe considerar tanto las acciones impartidas por la propia institución como las realizadas por organizaciones externas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,nada
nada,"Debe considerar al personal adscrito a los Tribunales Unitarios Agrarios que haya concluido determinada acción formativa impartida y concluida entre el 1 de enero y el 31 de diciembre de 2021, independientemente de que, por cuestiones de temporalidad, cuente con el certificado, constancia, calificación aprobatoria o cualquier documento que lo acredite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,nada
nada,"En caso de que un servidor público haya concluido más de una acción formativa impartida y concluida entre el 1 de enero y el 31 de diciembre de 2021, debe ser considerado una sola vez en el registro de esta pregunta. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,nada
importa,"En caso de que no se haya realizado alguna acción formativa en determinado tema listado, anote una ""X"" en la columna ""No se realizaron acciones formativas"" y deje el resto de la fila en blanco.",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,importa
nada,"En la columna ""Acciones formativas impartidas"" debe considerar las acciones formativas en los temas listados impartidas del 1 de enero al 31 de diciembre de 2021 al personal adscrito  a los Tribunales Unitarios Agrarios, independientemente de que hayan concluido durante el referido año. Debe considerar tanto las acciones impartidas por la propia institución como las realizadas por organizaciones externas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,nada
nada,"En la columna ""Acciones formativas impartidas y concluidas"" debe considerar las acciones formativas en los temas listados impartidas del 1 de enero al 31 de diciembre de 2021 al personal adscrito a los Tribunales Unitarios Agrarios, y que además hayan concluido durante el referido año. Debe considerar tanto las acciones impartidas por la propia institución como las realizadas por organizaciones externas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,nada
nada,"En caso de que una acción formativa haya contemplado más de un tema, debe registrarla tantas veces como sea necesario en el o los temas correspondientes. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,nada
importa,"La suma de las cantidades registradas en la columna ""Acciones formativas impartidas"" debe ser igual o mayor a la cantidad reportada como respuesta en la columna ""Acciones formativas impartidas"" de la pregunta anterior. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,importa
importa,"La suma de las cantidades registradas en la columna ""Acciones formativas impartidas y concluidas"" debe ser igual o mayor a la cantidad reportada como respuesta en la columna ""Acciones formativas impartidas y concluidas"" de la pregunta anterior. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,importa
nada,"Debe considerar al personal adscrito a los Tribunales Unitarios Agrarios, que haya concluido determinada acción formativa en los temas listados impartida y concluida entre el 1 de enero y el 31 de diciembre de 2021, independientemente de que, por cuestiones de temporalidad, cuente con el certificado, constancia, calificación aprobatoria o cualquier documento que lo acredite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,nada
nada,"En caso de que un servidor público haya concluido más de una acción formativa impartida y concluida entre el 1 de enero y el 31 de diciembre de 2021, debe registrarlo tantas veces como sea necesario en el o los temas correspondientes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,nada
importa,"La suma de las cantidades registradas en la columna ""Total"" debe ser igual o mayor a la cantidad reportada como respuesta en la columna ""Total"" de la pregunta anterior, así como corresponder a su desagregación por cargo y/o función desempeñada y sexo.",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,importa
importa,"En caso de que registre algún valor numérico o ""NS"" para el numeral 7, debe anotar el nombre de dicho(s) tema(s) en el recuadro destinado para tal efecto que se encuentra al final de la tabla de respuesta.",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,importa
importa,La suma de las cantidades registradas debe ser igual a la cantidad reportada como respuesta en el numeral 3 de la pregunta 3.1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,importa
importa,"En caso de que hayan seleccionado para determinado Tribunal el código ""2"" o ""9"" en la columna ""¿Contaban con algún órgano o unidad cuya principal atribución haya sido el desarrollo de actividades para la generación y tratamiento de información estadística y/o geográfica?"" de la pregunta anterior, anote una ""X"" en la columna ""No aplica"" y deje el resto de la fila en blanco.",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,importa
importa,"En caso de que haya seleccionado para el numeral 2 el código ""2"" o ""9"" en el numeral 2 ""¿Sistema informático para el seguimiento de expedientes agrarios electrónicos?"" de la pregunta anterior, no puede contestar este reactivo.",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,importa
importa,"En el apartado ""Información recopilada"" seleccione con una ""X"" el o los códigos que correspondan.",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,importa
importa,"La cantidad registrada en el recuadro ""Total de servidores públicos adscritos al órgano o unidad"" debe ser igual o menor a la cantidad reportada como respuesta en el recuadro ""Total de personal"" de la pregunta 1.8, así como corresponder a su desagregación por sexo.",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,importa
importa,"La cantidad registrada en el recuadro ""Total de servidores públicos adscritos al órgano o unidad"" debe ser igual o menor a la cantidad reportada como respuesta en el recuadro ""Total de personal"" de la pregunta 2.7, así como corresponder a su desagregación por sexo.",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,importa
importa,"1.- En caso de que haya seleccionado el código ""2"" o ""9"" en la columna ""¿Contaban con algún órgano interno de control u homólogo?"" de la pregunta 5.1, no puede registrar información en las preguntas 5.2 y 5.3.",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,importa
